fax modem card sell mail	train	misc.forsale
run server server install run add	train	comp.windows.x
live part lead wait important remember judge judge guess close situation listen statement sense regard passage remember letter church people body talk work translation lack concern make sick point throw faith faith catch meaning offer explanation fire cold make aware child eternal	train	soc.religion.christian
doesn pain deserve die lie rape	train	talk.religion.misc
sale mile good condition good condition player component speaker mount door car maintain clean good car solid body spot surface spot touch make car problem firm car average cost interested call email	train	rec.autos
post real disease disease question case active culture reduce hear work mechanism common minor common major evidence	val	sci.med
execute future criminal activity compare rate black white commit crime black commit crime perfectly fair system black represent note black white crime rate thing economic thing poor people commit crime black poor reduce minority increase minority	val	talk.politics.misc
citizen identify religious tradition religious category argument make people subject simply faith separate feel argument accept valid reject reason convert turkish rule ago present generation clue actual fact feel draw national feel separate argument carry weight long feel separate national group end debate simply relevant case date muslim category time result sequence decision past decade recognize group resolution declare separate nation eventually muslim choice form comparison national category demonstrate feel minority feel choose result show category choose choose group choose muslim term rest world present context talk group separate national reason historical religion play small role part culture general area simply religious political religious group security people fine point fact religious	val	talk.politics.mideast
miss part thread switch line level speaker level audio line level single chip audio switch switch channel input channel output function speaker level mind	test	sci.electronics
regularly schedule news reading bring message department statistic pass final individual player stat post day filter average game goal assist point penalty minute average pro play league season feel write real code odd list pass list time player small percentage difference category close game goal assist point leave average player pass list include top fly title kind	test	rec.sport.hockey
people silly team win world expect put good team baseball series bad team baseball bad team win game time win series odd	test	rec.sport.baseball
